Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"800 HARDY DR, Charlottesville, VA",38.033559,-78.490241,1,range_interpolation,800,"Hardy Dr",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"800 HINTON AVE, Charlottesville, VA",38.024915,-78.476461,1,rooftop,800,"Hinton Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"100 13TH ST NW, Charlottesville, VA",38.033219,-78.498297,1,range_interpolation,100,"13th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"200 BROOKWOOD DR, Charlottesville, VA",38.018656,-78.493476,1,range_interpolation,200,"Brookwood Dr",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"100 MCINTIRE PARK DR, Charlottesville, VA",38.026588,-78.48045,0.33,place,,,,,Charlottesville,VA,"Charlottesville city",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"100 7TH ST NE, Charlottesville, VA",38.029267,-78.476974,1,range_interpolation,100,"7th St NE",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"500 MEADE AVE, Charlottesville, VA",38.030016,-78.46495,1,range_interpolation,500,"Meade Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"100 SEMINOLE CT, Charlottesville, VA",38.065629,-78.488112,1,range_interpolation,100,"Seminole Ct",,,Charlottesville,VA,"Albemarle County",22901,US,"TIGER/Line® dataset from the US Census Bureau"
"1900 ARLINGTON BLVD, Charlottesville, VA",38.047832,-78.504303,1,rooftop,1900,"Arlington Blvd",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"1100 E HIGH ST, Charlottesville, VA",38.03154,-78.47007,1,rooftop,1100,"E High St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"300 E MAIN ST, Charlottesville, VA",38.029931,-78.48003,1,rooftop,300,"E Main St",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"100 LANKFORD AVE, Charlottesville, VA",38.021191,-78.487098,1,rooftop,100,"Lankford Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1600 MULBERRY AVE, Charlottesville, VA",38.023971,-78.506828,1,rooftop,1600,"Mulberry Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"2000 IVY RD, Charlottesville, VA",38.041645,-78.509653,1,range_interpolation,2000,"Ivy Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"700 PROSPECT AVE, Charlottesville, VA",38.024646,-78.494399,1,rooftop,700,"Prospect Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"700 PROSPECT AVE, Charlottesville, VA",38.024646,-78.494399,1,rooftop,700,"Prospect Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
